City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,taulaga,-11.0553,-171.0883,28.35,72,99,4.21,AS,1704663256
312,palasa,18.7667,84.4167,19.9,73,30,2.12,IN,1704663257
313,cidreira,-30.1811,-50.2056,24.72,85,76,5.43,BR,1704663257
314,sao vicente,-23.9631,-46.3919,29.1,57,40,4.12,BR,1704663257
315,minas de marcona,-15.2119,-75.1103,20.24,66,97,5.88,PE,1704663258
316,smithers,54.7804,-127.1743,-2.82,86,75,0.0,CA,1704663008
317,nabire,-3.3667,135.4833,24.17,93,100,1.21,ID,1704663259
318,woolgoolga,-30.1106,153.2007,25.02,73,70,4.14,AU,1704663259
319,mkushi,-13.6202,29.3939,17.55,92,49,1.66,ZM,1704663259
320,sodra sandby,56.5667,16.6167,-1.17,75,26,6.85,SE,1704663260
321,aconibe,1.2968,10.9369,20.63,98,43,1.22,GQ,1704663260
322,khagrachhari,23.1,91.9667,12.01,91,6,1.0,BD,1704663260
323,fort bragg,35.139,-79.006,14.08,44,0,8.75,US,1704663261
324,senekal,-28.3197,27.6208,18.24,70,81,2.04,ZA,1704663261
325,qujing,25.4833,103.7833,3.75,80,1,1.51,CN,1704663261
326,chernyshevskiy,63.0128,112.4714,-29.28,95,61,3.86,RU,1704663262
327,oriximina,-1.7656,-55.8661,26.05,81,77,1.44,BR,1704663262
328,panyam,9.4167,9.2167,17.42,18,1,2.52,NG,1704663263
329,utrik,11.2278,169.8474,26.86,70,49,8.76,MH,1704663263
330,nouadhibou,20.931,-17.0347,20.99,64,1,5.14,MR,1704663263
331,tavda,58.0425,65.2726,-17.31,96,100,2.71,RU,1704663264
332,saiha,22.4833,92.9667,11.11,72,2,1.62,IN,1704663264
333,trincomalee,8.5711,81.2335,26.36,83,59,4.35,LK,1704663265
334,bel ombre,-4.6167,55.4167,26.91,83,40,3.09,SC,1704663265
335,pangody,65.85,74.4859,-21.36,96,100,2.79,RU,1704663265
336,peace river,56.2501,-117.286,-21.83,77,75,1.03,CA,1704663102
337,jawf al maqbabah,13.8378,45.8349,17.79,58,28,2.87,YE,1704663266
338,nizhneudinsk,54.9076,99.0276,-21.51,98,22,1.4,RU,1704663266
339,bedarieux,43.6155,3.1571,4.81,72,100,10.64,FR,1704663267
340,greymouth,-42.4667,171.2,19.27,63,3,2.35,NZ,1704663267
341,arteche,12.2645,125.4048,25.55,90,36,3.94,PH,1704663267
342,mahdia,35.5047,11.0622,9.97,55,2,8.93,TN,1704663268
343,menongue,-14.6585,17.691,18.14,89,34,1.69,AO,1704663268
344,nemuro,43.3236,145.575,-1.66,73,16,5.37,JP,1704663269
345,inirida,3.8653,-67.9239,29.17,62,81,1.14,CO,1704663269
346,arkhangel'sk,64.5401,40.5433,-10.94,100,100,3.0,RU,1704663269
347,pourham,14.35,-16.4167,30.12,22,0,4.59,SN,1704663270
348,altai,46.3722,96.2583,-13.48,96,100,2.29,MN,1704663270
349,buka,40.8108,69.1986,8.5,84,100,1.98,UZ,1704663270
350,berezovyy,51.6667,135.7,-24.79,89,62,1.41,RU,1704663271
351,narasannapeta,18.4167,84.05,18.61,78,13,2.6,IN,1704663271
352,dawei,14.0833,98.2,21.8,75,8,1.49,MM,1704663272
353,lazaro cardenas,17.9583,-102.2,27.68,58,98,2.45,MX,1704663272
354,floro,61.5996,5.0328,1.65,51,20,3.6,NO,1704663272
355,katsuura,35.1333,140.3,7.01,60,34,9.51,JP,1704663273
356,thurso,58.5927,-3.5259,0.14,72,88,1.02,GB,1704663273
357,stettler,52.3168,-112.7186,-15.14,87,100,1.85,CA,1704663273
358,the pas,53.8251,-101.2541,-18.99,65,0,2.57,CA,1704663274
359,krasnogorskiy,54.6025,61.231,-17.45,93,100,6.59,RU,1704663274
360,muynoq,43.7683,59.0214,2.44,81,49,5.37,UZ,1704663275
361,mugia,43.1041,-9.2179,4.39,74,61,3.77,ES,1704663275
